name,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,night_range
☞✪✪✪✪Roomy Studio 4 Family r friends✪No Stairs✪✪✪✪,Evan From Sanctuary House,Sathon,13.72073,100.5469,Entire home/apt,1450,1,268,2022-12-15,2.59,8,350,7,Week 1
☞Downtown Central Studio-Bangkok MRT,Evan From Sanctuary House,Sathon,13.72063,100.54694,Entire home/apt,1200,1,310,2022-12-11,3.0,8,331,9,Week 1
Beautiful Wood Bangkok Resort House,Narumon,Nong Chok,13.779,100.83671,Entire home/apt,8658,1,0,,0.0,1,363,0,Week 1
"""Serviced 2 Bed Scenic SkyVillas""",Salvatore,Sathon,13.72096,100.52911,Entire home/apt,3757,2,118,2022-11-30,1.07,7,134,12,Week 1
Cozy 1BR rooftop (BTS Ploenchit) heart of bangkok,Pichanee,Khlong Toei,13.73782,100.55179,Entire home/apt,1490,5,11,2018-07-02,0.15,1,16,0,Week 1
Chic two bedroom for Monthly rental,Phoebe,Bang Rak,13.72687,100.52725,Entire home/apt,2701,30,104,2020-02-20,0.89,1,0,0,Week 4
Sukhumvit52 near SkyTrain to BkkCBD,Vajirune,Phra Khanong,13.70169,100.5977,Private room,2251,3,0,,0.0,1,365,0,Week 1
"♡Chic Studio, Easy Walk to Pier & BTS Taksin♡",Bee,Sathon,13.71192,100.51535,Entire home/apt,866,2,472,2022-12-15,4.02,7,320,29,Week 1
One Bedroom Suite- WIFI- SATHORN,Marvin,Sathon,13.71602,100.52663,Private room,2696,1,0,,0.0,3,356,0,Week 1
STUDIO RM2 - WIFI- SATHORN,Marvin,Sathon,13.71798,100.52841,Private room,1736,1,4,2014-11-12,0.04,3,356,0,Week 1
Quiet Double  Bed Apartment,Primrose,Thawi Watthana,13.79274,100.33377,Private room,1800,2,1,2022-10-25,0.46,3,242,1,Week 1
Quiet Double Bed Apartment,Primrose,Thawi Watthana,13.79315,100.33356,Private room,1800,2,0,,0.0,3,256,0,Week 1
Suvarnabhumi free transfer,Luckana,Lat Krabang,13.72141,100.72946,Entire home/apt,1558,1,43,2020-03-03,0.39,2,365,0,Week 1
One Bed Room at Sukumvit 50 Bangkok,Nichapat,Khlong Toei,13.71513,100.5683,Private room,2226,1,0,,0.0,1,364,0,Week 1
"City View, relaxed theme & delicious food around",Nicky,Bang Kho laen,13.69947,100.52726,Entire home/apt,890,2,29,2022-12-18,0.27,6,59,4,Week 1
Ideo Blucove Sukhumvit Bangkok,Sander,Bang Na,13.67998,100.61074,Entire home/apt,1500,29,0,,0.0,1,365,0,Week 4
2-BR condo near BTS on Sukhumvit Rd,Anshera,Khlong Toei,13.7281,100.57318,Entire home/apt,1732,30,67,2022-09-20,0.51,1,167,1,Week 4
"NewlyRenovated! 3Br,SingleHouse, Park/BTS/Airport.",Piya,Pra Wet,13.70004,100.6787,Entire home/apt,3394,5,3,2022-11-28,0.03,8,180,2,Week 1
"IdeoMix, Sukhumvit RD, close to BTS",Piya,Bang Na,13.67991,100.61055,Entire home/apt,922,14,170,2022-12-05,1.54,1,219,5,Week 2
Mix Dorm  Decor do Hostel,Somsak,Khlong San,13.72214,100.50752,Shared room,350,1,12,2020-02-08,0.12,10,87,0,Week 1
5 mins by car from Chong Nonsi BTS Station,Mimi,Sathon,13.71498,100.53312,Private room,1543,1,40,2022-12-09,0.46,4,149,10,Week 1
Inn Saladaeng - Superior hotel room,Inn Saladaeng & The Sathon Vimanda,Bang Rak,13.72825,100.53774,Entire home/apt,1589,1,36,2022-09-01,0.33,2,176,1,Week 1
"Best nr Chatujak, MRT, BTS free wifi&fNetflix",Nokiko,Chatu Chak,13.81694,100.56451,Entire home/apt,1271,1,293,2022-12-06,2.72,1,129,19,Week 1
❂Citycenter✔Subway station✔Private Bathroom4Aircon,Evan,Sathon,13.72062,100.54707,Entire home/apt,800,1,396,2020-04-30,3.02,37,361,0,Week 1
Nice River View Condominium 30 sq.m,Chanvit,Rat Burana,13.68426,100.49841,Private room,1558,1,0,,0.0,1,365,0,Week 1
Monthly rent 2Beds/2Baths quiet APT at BTS,Pornpan,Khlong San,13.71905,100.50414,Entire home/apt,1747,30,80,2020-01-28,0.62,1,330,0,Week 4
Sukhumvit apartment near Nana BTS,Hollis,Khlong Toei,13.74052,100.55237,Entire home/apt,797,1,189,2022-11-28,1.45,1,230,13,Week 1
A room w/ the view :-) in the city,Vichit,Vadhana,13.71012,100.60281,Entire home/apt,6926,1,1,2019-01-13,0.02,1,364,0,Week 1
Spacious 1Bed apartment,Tisa,Huai Khwang,13.75224,100.58979,Entire home/apt,1169,15,0,,0.0,1,180,0,Week 3
Near Bangkok more space than urban!,Sugarcane,Phra Nakhon,13.75135,100.49447,Shared room,5195,1,0,,0.0,1,365,0,Week 1
✺✺99 feet in the sky✺✺,Evan,Sathon,13.72062,100.54707,Entire home/apt,829,1,430,2022-10-01,3.39,37,334,10,Week 1
Cozy Studio Apt near Skytrain.(72/74),Tor,Sathon,13.71782,100.51622,Private room,950,1,39,2022-10-01,0.3,7,301,2,Week 1
"Asoke: tasteful, modern 1BR condo",Peter,Vadhana,13.73816,100.56495,Entire home/apt,1400,28,32,2022-10-31,0.25,2,120,5,Week 4
